deadline_ms,workload,policy,accuracy,macro_f1,anomaly_fn_rate,model_switch_rate,avg_host_latency_us,p95_host_latency_us,p99_host_latency_us,deadline_compliance,time_in_FAST,time_in_BALANCED,time_in_HIGH_FIDELITY,total_switches,evidence_category
20,BURST,DEADLINE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,22.186717048280112,36.73516665156204,49.084752510968634,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,BURST,COMPUTE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,23.701644963739962,40.87198505685402,64.16673671113416,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,LOW,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,4.774623492364522,5.900000019209983,10.900233664390159,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
50,LOW,BALANCED,0.751875,0.7390479285714084,0.002375,0.0,4.769352812952018,6.099999950492929,10.543124849508795,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
50,LOW,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,4.787998437624573,7.2999999929379555,11.560540463196562,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,LOW,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,4.755075519113315,6.5000000404324965,10.335099118813226,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,MEDIUM,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,6.908063336048134,9.556311460492479,15.500221294174189,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
50,MEDIUM,BALANCED,0.751875,0.7390479285714084,0.002375,0.0,6.860016325377043,9.285352492736694,16.364056289226657,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
50,MEDIUM,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,6.9129883560450445,9.27417147640039,17.32942797650495,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,MEDIUM,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,6.885346443676682,9.149337369622998,16.180668903654897,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,HIGH,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,14.369280114905205,21.73008287647278,34.7333660256573,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
50,HIGH,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.900712289211619,21.60028227765493,34.024087252380916,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,HIGH,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,12.874100453527047,18.481087704404317,23.485150979045464,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,HIGH,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.82341155505518,20.74702748376491,32.17979558397286,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,BURST,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,22.876545674008668,38.07067950485762,60.35584679891442,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
50,BURST,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,22.47159752105746,36.803169591990766,52.79643794154971,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,BURST,DEADLINE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,23.335768383745815,39.0162363319761,61.232938989334514,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
50,BURST,COMPUTE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,23.21110325949423,38.821922706718425,72.28567181473183,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,LOW,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,4.86081002184104,6.629780013923321,11.500042335194484,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
100,LOW,BALANCED,0.751875,0.7390479285714084,0.002375,0.0,4.908831845276276,7.000000096013537,11.591861730496351,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
100,LOW,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,4.831067114090923,6.77212976664171,10.965948068900214,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,LOW,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,4.841161114945182,6.600000006073969,10.282188083555194,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,MEDIUM,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,7.095712496632067,11.103093108127897,16.98826613445946,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
100,MEDIUM,BALANCED,0.751875,0.7390479285714084,0.002375,0.0,6.899098044774959,9.095975112299373,19.77454812069179,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
100,MEDIUM,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,6.9467178251758055,9.50179344561072,16.66706461956779,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,MEDIUM,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,7.03561459733574,9.592237589066125,18.598463877417835,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,HIGH,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,13.702976562053406,19.524380900704323,33.12580336596577,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
100,HIGH,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,15.109778518206861,23.560169496901594,39.25077777932385,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,HIGH,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.620434026900572,19.846879590173835,30.57556354796241,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,HIGH,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.77372050378086,20.481295432103174,41.063485585736636,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,BURST,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,22.151361004405693,36.86474647508837,53.55603787866544,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
100,BURST,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,21.953286132375485,36.74233377295448,53.33964582215669,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,BURST,DEADLINE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,22.02934315751771,36.819162349212085,50.252657234580695,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
100,BURST,COMPUTE_PRIORITY,0.7160714285714286,0.7217814141564627,0.014,8.928571428571429e-05,22.389752512625414,37.29985988229245,56.59425223016353,1.0,1.0,0.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
